2026-06-23 04:41:35 startup archives unpack
2026-06-23 04:41:37 install netdiscover:amd64 <none> 0.21-1
2026-06-23 04:41:37 status half-installed netdiscover:amd64 0.21-1
2026-06-23 04:41:37 status triggers-pending kali-menu:all 2026.1.5
2026-06-23 04:41:37 status triggers-pending man-db:amd64 2.13.1-1
2026-06-23 04:41:37 status unpacked netdiscover:amd64 0.21-1
2026-06-23 04:41:38 startup packages configure
2026-06-23 04:41:38 configure netdiscover:amd64 0.21-1 <none>
2026-06-23 04:41:38 status unpacked netdiscover:amd64 0.21-1
2026-06-23 04:41:38 status half-configured netdiscover:amd64 0.21-1
2026-06-23 04:41:38 status installed netdiscover:amd64 0.21-1
2026-06-23 04:41:38 trigproc kali-menu:all 2026.1.5 <none>
2026-06-23 04:41:38 status half-configured kali-menu:all 2026.1.5
2026-06-23 04:41:41 status installed kali-menu:all 2026.1.5
2026-06-23 04:41:41 trigproc man-db:amd64 2.13.1-1 <none>
2026-06-23 04:41:41 status half-configured man-db:amd64 2.13.1-1
2026-06-23 04:41:45 status installed man-db:amd64 2.13.1-1
2026-06-24 03:34:43 startup archives unpack
2026-06-24 03:34:46 install gobuster:amd64 <none> 3.8.2-1
2026-06-24 03:34:46 status half-installed gobuster:amd64 3.8.2-1
2026-06-24 03:34:46 status triggers-pending kali-menu:all 2026.1.5
2026-06-24 03:34:47 status triggers-pending man-db:amd64 2.13.1-1
2026-06-24 03:34:47 status unpacked gobuster:amd64 3.8.2-1
2026-06-24 03:34:47 startup packages configure
2026-06-24 03:34:47 configure gobuster:amd64 3.8.2-1 <none>
2026-06-24 03:34:47 status unpacked gobuster:amd64 3.8.2-1
2026-06-24 03:34:47 status half-configured gobuster:amd64 3.8.2-1
2026-06-24 03:34:47 status installed gobuster:amd64 3.8.2-1
2026-06-24 03:34:47 trigproc man-db:amd64 2.13.1-1 <none>
2026-06-24 03:34:47 status half-configured man-db:amd64 2.13.1-1
2026-06-24 03:34:52 status installed man-db:amd64 2.13.1-1
2026-06-24 03:34:52 trigproc kali-menu:all 2026.1.5 <none>
2026-06-24 03:34:52 status half-configured kali-menu:all 2026.1.5
2026-06-24 03:34:53 status installed kali-menu:all 2026.1.5
2026-06-24 03:45:51 startup archives unpack
2026-06-24 03:45:52 install seclists:all <none> 2025.3-0kali1
2026-06-24 03:45:52 status half-installed seclists:all 2025.3-0kali1
2026-06-24 03:45:52 status triggers-pending kali-menu:all 2026.1.5
2026-06-24 03:47:19 status unpacked seclists:all 2025.3-0kali1
2026-06-24 03:47:22 startup packages configure
2026-06-24 03:47:22 configure seclists:all 2025.3-0kali1 <none>
2026-06-24 03:47:22 status unpacked seclists:all 2025.3-0kali1
2026-06-24 03:47:22 status half-configured seclists:all 2025.3-0kali1
2026-06-24 03:47:22 status installed seclists:all 2025.3-0kali1
2026-06-24 03:47:22 trigproc kali-menu:all 2026.1.5 <none>
2026-06-24 03:47:22 status half-configured kali-menu:all 2026.1.5
2026-06-24 03:47:23 status installed kali-menu:all 2026.1.5
2026-06-24 03:49:30 startup archives unpack
2026-06-24 03:49:33 install ruby-public-suffix:all <none> 6.0.2-1.1
2026-06-24 03:49:33 status half-installed ruby-public-suffix:all 6.0.2-1.1
2026-06-24 03:49:33 status unpacked ruby-public-suffix:all 6.0.2-1.1
2026-06-24 03:49:33 install ruby-addressable:all <none> 2.8.9-1
2026-06-24 03:49:33 status half-installed ruby-addressable:all 2.8.9-1
2026-06-24 03:49:33 status unpacked ruby-addressable:all 2.8.9-1
2026-06-24 03:49:33 install ruby-ipaddress:all <none> 0.8.3-5
2026-06-24 03:49:33 status half-installed ruby-ipaddress:all 0.8.3-5
2026-06-24 03:49:33 status unpacked ruby-ipaddress:all 0.8.3-5
2026-06-24 03:49:33 install ruby-rchardet:all <none> 1.10.0-1
